"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2018"	"2018"	Suppressed	55601	Suppressed
	"Autauga County, AL"	"01001"	"2019"	"2019"	Suppressed	55869	Suppressed
	"Autauga County, AL"	"01001"	"2020 "	"2020"	Suppressed	56145	Suppressed
	"Baldwin County, AL"	"01003"	"2018"	"2018"	28	218022	12.8
	"Baldwin County, AL"	"01003"	"2019"	"2019"	27	223234	12.1
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	63	229287	27.5
	"Barbour County, AL"	"01005"	"2018"	"2018"	Suppressed	24881	Suppressed
	"Barbour County, AL"	"01005"	"2019"	"2019"	Suppressed	24686	Suppressed
	"Barbour County, AL"	"01005"	"2020 "	"2020"	Suppressed	24589	Suppressed
	"Bibb County, AL"	"01007"	"2018"	"2018"	Suppressed	22400	Suppressed
	"Bibb County, AL"	"01007"	"2019"	"2019"	Suppressed	22394	Suppressed
	"Bibb County, AL"	"01007"	"2020 "	"2020"	Suppressed	22136	Suppressed
	"Blount County, AL"	"01009"	"2018"	"2018"	10	57840	Unreliable
	"Blount County, AL"	"01009"	"2019"	"2019"	10	57826	Unreliable
	"Blount County, AL"	"01009"	"2020 "	"2020"	11	57879	Unreliable
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	10138	Suppressed
	"Bullock County, AL"	"01011"	"2019"	"2019"	Suppressed	10101	Suppressed
	"Bullock County, AL"	"01011"	"2020 "	"2020"	Suppressed	9976	Suppressed
	"Butler County, AL"	"01013"	"2018"	"2018"	Suppressed	19680	Suppressed
	"Butler County, AL"	"01013"	"2019"	"2019"	Suppressed	19448	Suppressed
	"Butler County, AL"	"01013"	"2020 "	"2020"	Suppressed	19504	Suppressed
	"Calhoun County, AL"	"01015"	"2018"	"2018"	17	114277	Unreliable
	"Calhoun County, AL"	"01015"	"2019"	"2019"	20	113605	17.6
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	29	113469	25.6
	"Chambers County, AL"	"01017"	"2018"	"2018"	Suppressed	33615	Suppressed
	"Chambers County, AL"	"01017"	"2019"	"2019"	Suppressed	33254	Suppressed
	"Chambers County, AL"	"01017"	"2020 "	"2020"	Suppressed	32865	Suppressed
	"Cherokee County, AL"	"01019"	"2018"	"2018"	Suppressed	26032	Suppressed
	"Cherokee County, AL"	"01019"	"2019"	"2019"	Suppressed	26196	Suppressed
	"Cherokee County, AL"	"01019"	"2020 "	"2020"	Suppressed	26294	Suppressed
	"Chilton County, AL"	"01021"	"2018"	"2018"	Suppressed	44153	Suppressed
	"Chilton County, AL"	"01021"	"2019"	"2019"	Suppressed	44428	Suppressed
	"Chilton County, AL"	"01021"	"2020 "	"2020"	Suppressed	44397	Suppressed
	"Choctaw County, AL"	"01023"	"2018"	"2018"	Suppressed	12841	Suppressed
	"Choctaw County, AL"	"01023"	"2019"	"2019"	Suppressed	12589	Suppressed
	"Choctaw County, AL"	"01023"	"2020 "	"2020"	Suppressed	12418	Suppressed
	"Clarke County, AL"	"01025"	"2018"	"2018"	Suppressed	23920	Suppressed
	"Clarke County, AL"	"01025"	"2019"	"2019"	Suppressed	23622	Suppressed
	"Clarke County, AL"	"01025"	"2020 "	"2020"	Suppressed	23291	Suppressed
	"Clay County, AL"	"01027"	"2018"	"2018"	Suppressed	13275	Suppressed
	"Clay County, AL"	"01027"	"2019"	"2019"	Suppressed	13235	Suppressed
	"Clay County, AL"	"01027"	"2020 "	"2020"	Suppressed	13112	Suppressed
	"Cleburne County, AL"	"01029"	"2018"	"2018"	Suppressed	14987	Suppressed
	"Cleburne County, AL"	"01029"	"2019"	"2019"	Suppressed	14910	Suppressed
	"Cleburne County, AL"	"01029"	"2020 "	"2020"	Suppressed	14967	Suppressed
	"Coffee County, AL"	"01031"	"2018"	"2018"	Suppressed	51909	Suppressed
	"Coffee County, AL"	"01031"	"2019"	"2019"	Suppressed	52342	Suppressed
	"Coffee County, AL"	"01031"	"2020 "	"2020"	Suppressed	53230	Suppressed
	"Colbert County, AL"	"01033"	"2018"	"2018"	Suppressed	54762	Suppressed
	"Colbert County, AL"	"01033"	"2019"	"2019"	Suppressed	55241	Suppressed
	"Colbert County, AL"	"01033"	"2020 "	"2020"	Suppressed	55411	Suppressed
	"Conecuh County, AL"	"01035"	"2018"	"2018"	Suppressed	12277	Suppressed
	"Conecuh County, AL"	"01035"	"2019"	"2019"	Suppressed	12067	Suppressed
	"Conecuh County, AL"	"01035"	"2020 "	"2020"	Suppressed	11851	Suppressed
	"Coosa County, AL"	"01037"	"2018"	"2018"	Suppressed	10715	Suppressed
	"Coosa County, AL"	"01037"	"2019"	"2019"	Suppressed	10663	Suppressed
	"Coosa County, AL"	"01037"	"2020 "	"2020"	Suppressed	10650	Suppressed
	"Covington County, AL"	"01039"	"2018"	"2018"	Suppressed	36986	Suppressed
	"Covington County, AL"	"01039"	"2019"	"2019"	Suppressed	37049	Suppressed
	"Covington County, AL"	"01039"	"2020 "	"2020"	Suppressed	36930	Suppressed
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	Suppressed	13824	Suppressed
	"Crenshaw County, AL"	"01041"	"2019"	"2019"	Suppressed	13772	Suppressed
	"Crenshaw County, AL"	"01041"	"2020 "	"2020"	Suppressed	13681	Suppressed
	"Cullman County, AL"	"01043"	"2018"	"2018"	19	83442	Unreliable
	"Cullman County, AL"	"01043"	"2019"	"2019"	14	83768	Unreliable
	"Cullman County, AL"	"01043"	"2020 "	"2020"	16	84515	Unreliable
	"Dale County, AL"	"01045"	"2018"	"2018"	Suppressed	48956	Suppressed
	"Dale County, AL"	"01045"	"2019"	"2019"	Suppressed	49172	Suppressed
	"Dale County, AL"	"01045"	"2020 "	"2020"	Suppressed	48959	Suppressed
	"Dallas County, AL"	"01047"	"2018"	"2018"	Suppressed	38310	Suppressed
	"Dallas County, AL"	"01047"	"2019"	"2019"	Suppressed	37196	Suppressed
	"Dallas County, AL"	"01047"	"2020 "	"2020"	Suppressed	36098	Suppressed
	"DeKalb County, AL"	"01049"	"2018"	"2018"	15	71385	Unreliable
	"DeKalb County, AL"	"01049"	"2019"	"2019"	22	71513	30.8
	"DeKalb County, AL"	"01049"	"2020 "	"2020"	18	71658	Unreliable
	"Elmore County, AL"	"01051"	"2018"	"2018"	Suppressed	81887	Suppressed
	"Elmore County, AL"	"01051"	"2019"	"2019"	10	81209	Unreliable
	"Elmore County, AL"	"01051"	"2020 "	"2020"	10	82158	Unreliable
	"Escambia County, AL"	"01053"	"2018"	"2018"	12	36748	Unreliable
	"Escambia County, AL"	"01053"	"2019"	"2019"	14	36633	Unreliable
	"Escambia County, AL"	"01053"	"2020 "	"2020"	10	36281	Unreliable
	"Etowah County, AL"	"01055"	"2018"	"2018"	28	102501	27.3
	"Etowah County, AL"	"01055"	"2019"	"2019"	19	102268	Unreliable
	"Etowah County, AL"	"01055"	"2020 "	"2020"	20	102371	19.5
