"","stateName","stateFIPS","year","mort","pop","opioid_disp"
"1","Alabama",1,1999,153,4430141,NA
"2","Alabama",1,2000,177,4447100,NA
"3","Alabama",1,2001,202,4467634,NA
"4","Alabama",1,2002,199,4480089,NA
"5","Alabama",1,2003,176,4503491,NA
"6","Alabama",1,2004,265,4530729,NA
"7","Alabama",1,2005,245,4569805,NA
"8","Alabama",1,2006,350,4628981,115.6
"9","Alabama",1,2007,472,4672840,120.3
"10","Alabama",1,2008,532,4718206,126.1
"11","Alabama",1,2009,589,4757938,131.6
"12","Alabama",1,2010,517,4779736,134.3
"13","Alabama",1,2011,522,4802740,136.6
"14","Alabama",1,2012,535,4822023,143.8
"15","Alabama",1,2013,564,4833722,142.4
"16","Alabama",1,2014,689,4849377,135.2
"17","Alabama",1,2015,701,4858979,125
"18","Alabama",1,2016,726,4863300,121
"19","Alabama",1,2017,804,4874747,108.8
"20","Alabama",1,2018,740,4887871,97.5
"21","Alabama",1,2019,742,4903185,85.8
"22","Alabama",1,2020,1007,4921532,80.4
"23","Alaska",2,1999,37,624779,NA
"24","Alaska",2,2000,42,626932,NA
"25","Alaska",2,2001,61,633714,NA
"26","Alaska",2,2002,81,642337,NA
"27","Alaska",2,2003,82,648414,NA
"28","Alaska",2,2004,80,659286,NA
"29","Alaska",2,2005,71,666946,NA
"30","Alaska",2,2006,73,675302,63.4
"31","Alaska",2,2007,69,680300,66.6
"32","Alaska",2,2008,104,687455,68.5
"33","Alaska",2,2009,122,698895,67.3
"34","Alaska",2,2010,80,710231,68.4
"35","Alaska",2,2011,105,722718,68
"36","Alaska",2,2012,129,731449,66.8
"37","Alaska",2,2013,104,735132,63.7
"38","Alaska",2,2014,119,736732,62.7
"39","Alaska",2,2015,115,738432,60.8
"40","Alaska",2,2016,119,741894,58.9
"41","Alaska",2,2017,140,739795,52
"42","Alaska",2,2018,101,737438,44.9
"43","Alaska",2,2019,126,731545,39.1
"44","Alaska",2,2020,151,731158,36.1
"45","Arizona",4,1999,474,5023823,NA
"46","Arizona",4,2000,490,5130632,NA
"47","Arizona",4,2001,509,5273477,NA
"48","Arizona",4,2002,574,5396255,NA
"49","Arizona",4,2003,618,5510364,NA
"50","Arizona",4,2004,672,5652404,NA
"51","Arizona",4,2005,700,5839077,NA
"52","Arizona",4,2006,795,6029141,74.3
"53","Arizona",4,2007,876,6167681,77.8
"54","Arizona",4,2008,770,6280362,80.9
"55","Arizona",4,2009,930,6343154,84.2
"56","Arizona",4,2010,1002,6392017,88.5
"57","Arizona",4,2011,989,6482505,88.6
"58","Arizona",4,2012,1008,6553255,85.3
"59","Arizona",4,2013,1103,6626624,80.4
"60","Arizona",4,2014,1100,6731484,79.7
"61","Arizona",4,2015,1171,6828065,75.5
"62","Arizona",4,2016,1281,6931071,70.2
"63","Arizona",4,2017,1440,7016270,60.8
"64","Arizona",4,2018,1594,7171646,50.7
"65","Arizona",4,2019,1838,7278717,44.1
"66","Arizona",4,2020,2439,7421401,40.5
"67","Arkansas",5,1999,63,2651860,NA
"68","Arkansas",5,2000,76,2673400,NA
"69","Arkansas",5,2001,73,2691571,NA
"70","Arkansas",5,2002,99,2705927,NA
"71","Arkansas",5,2003,103,2724816,NA
"72","Arkansas",5,2004,139,2749686,NA
"73","Arkansas",5,2005,157,2781097,NA
"74","Arkansas",5,2006,173,2821761,98.3
"75","Arkansas",5,2007,173,2848650,108.2
"76","Arkansas",5,2008,265,2874554,112.1
"77","Arkansas",5,2009,261,2896843,116
"78","Arkansas",5,2010,281,2915918,120.8
"79","Arkansas",5,2011,312,2937979,115.2
"80","Arkansas",5,2012,314,2949131,121.8
"81","Arkansas",5,2013,270,2959373,120.9
"82","Arkansas",5,2014,296,2966369,123.2
"83","Arkansas",5,2015,339,2978204,117.2
"84","Arkansas",5,2016,353,2988248,114.6
"85","Arkansas",5,2017,395,3004279,106.1
"86","Arkansas",5,2018,406,3013825,93.5
"87","Arkansas",5,2019,353,3017804,80.9
"88","Arkansas",5,2020,508,3030522,75.8
"89","California",6,1999,2560,33499204,NA
"90","California",6,2000,1862,33871648,NA
"91","California",6,2001,1179,34479458,NA
"92","California",6,2002,2829,34871843,NA
"93","California",6,2003,2941,35253159,NA
"94","California",6,2004,2956,35574576,NA
"95","California",6,2005,3024,35827943,NA
"96","California",6,2006,3325,36021202,51
"97","California",6,2007,3688,36250311,53.6
"98","California",6,2008,3714,36604337,55.1
"99","California",6,2009,3883,36961229,55.6
"100","California",6,2010,3876,37253956,55.8
"101","California",6,2011,4044,37691912,55.9
"102","California",6,2012,3917,38041430,56.4
"103","California",6,2013,4325,38332521,54.4
"104","California",6,2014,4416,38802500,52.7
"105","California",6,2015,4547,39144818,47.7
"106","California",6,2016,4536,39250017,44.8
"107","California",6,2017,4782,39536653,39.8
"108","California",6,2018,5277,39557045,35.1
"109","California",6,2019,6106,39512223,30.9
"110","California",6,2020,8813,39368078,28.5
